LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,AverageNumberOfAddedLines,MaxNumberOfAddedLines,Age,AverageTimeBetweenChanges,NumberOfBugFixes,CodeChurn,MeanCommitMessageLength,NumberOfRevisions,NumberOfCommitsWithoutMessage,DaysWithCommits,AverageNumberOfDeletedLines,MaxNumberOfDeletedLines,MeanAuthorCommits,NumberOfDistinctCommitters,AverageNumberOfModifiedLines,MaxNumberOfModifiedLines,NumberOfRefactorings,AuthorFragmentation,TimePassedSinceTheLastChange,Severity
0.0,57,0.0,1,0,0,7,0,1,0,8,7,0.8571428571428571,7,25,0,36.0,94,1103,138,0,101,16.666666666666668,3,0,3,2.3333333333333335,5,6.0,2,38.333333333333336,94,0,3,688,0
0.5882352941176471,170,0.5882352941176471,0,1,1,16,0,0,5,31,31,1.0,4,62,0,102.33333333333333,290,776,160,2,291,51.0,3,0,3,5.333333333333333,11,170.0,1,107.66666666666667,290,0,14,296,0
0.0,480,0.0,1,0,0,2,0,0,0,131,130,0.5,2,163,0,23930.0,23930,1007,0,0,23930,14.0,1,0,1,0.0,0,99.0,1,23930.0,23930,0,35,1007,0
0.0,92,0.0,11,0,0,17,0,0,2,19,8,0.35294117647058826,16,19,0,237.0,237,2923,0,1,237,56.0,1,0,1,0.0,0,2731.0,1,237.0,237,0,2,2923,0
0.0,11,0.0,0,0,0,1,0,0,0,1,1,1.0,1,3,0,132.2,540,556,96,0,573,40.2,5,0,5,17.6,85,1114.25,4,149.8,540,0,2,74,0
0.0,61,0.0,2,0,0,7,0,0,1,10,8,0.7142857142857143,7,7,0,17.636363636363637,100,2187,164,1,111,99.9090909090909,11,0,10,7.545454545454546,68,225.85714285714286,7,25.181818181818183,136,0,6,380,0
0.0,52,0.0,0,0,0,3,0,0,2,11,11,1.0,3,5,0,27.0,79,2288,541,0,77,43.333333333333336,3,0,2,1.3333333333333333,3,417.5,2,28.333333333333332,79,0,2,664,0
0.0,96,0.0,1,0,0,5,1,0,5,16,14,0.6,5,28,0,131.0,131,2340,0,0,131,85.0,1,0,1,0.0,0,1597.0,1,131.0,131,0,8,2340,0
0.0,26,0.0,2,0,0,3,0,0,0,4,2,0.3333333333333333,2,4,0,3387.156862745098,36359,3853,24,4,254256,102.11764705882354,153,0,145,1725.3529411764705,31627,243.92156862745097,51,5112.509803921569,67986,5,4,52,0
0.0,33,0.0,0,0,0,3,0,0,1,4,4,1.0,2,9,0,45.0,89,1135,70,0,89,57.5,2,0,2,0.5,1,33.0,1,45.5,89,1,1,994,0
0.0,493,0.0,2,0,0,23,2,27,0,88,82,0.8260869565217391,5,202,31,15.895833333333334,228,1355,9,17,-1,72.47222222222223,144,0,101,15.902777777777779,986,603.3125,16,31.79861111111111,986,15,28,10,1
0.24875621890547264,402,0.746268656716418,7,1,3,39,0,0,8,77,70,0.8205128205128205,11,104,0,72.8,305,1121,84,2,531,176.8,10,0,10,19.7,148,3829.0,1,92.5,453,0,27,275,0
0.0,31,0.0,0,0,0,11,0,0,0,11,11,1.0,0,12,0,28.0,85,577,135,0,111,66.75,4,0,4,0.25,1,1159.0,2,28.25,85,0,3,36,0
0.0,29,0.0,0,0,0,1,0,0,0,3,3,1.0,1,10,3,5.947368421052632,29,4125,122,1,65,58.10526315789474,19,0,19,2.526315789473684,13,1823.5,4,8.473684210526315,36,1,3,1805,0
0.0,76,0.0,3,0,0,9,0,1,3,13,10,0.6666666666666666,9,20,3,6.476923076923077,78,3143,41,19,129,106.41538461538461,65,0,53,4.492307692307692,36,431.95238095238096,21,10.96923076923077,78,13,11,424,0
0.0,13,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,20.692307692307693,151,2506,162,1,45,70.61538461538461,13,0,12,17.23076923076923,183,101.83333333333333,6,37.92307692307692,198,2,4,392,0
0.0,31,0.0,0,0,0,2,0,0,0,10,10,1.0,2,14,0,11.75,75,2089,165,2,72,60.875,8,0,7,2.75,13,1609.0,2,14.5,75,1,2,769,0
9.090909090909092,22,0.0,0,2,0,4,0,0,0,4,4,1.0,0,10,0,116.875,850,1495,153,1,868,175.375,8,0,8,8.375,32,3829.0,1,125.25,850,1,5,266,0
0.0,68,0.0,2,0,0,9,0,0,2,10,8,0.7777777777777778,9,17,0,54.0,99,1366,4,0,108,44.0,2,0,2,0.0,0,5699.0,1,54.0,99,0,5,1358,0
0.0,1645,0.0,94,0,0,231,90,0,92,260,76,0.20346320346320346,230,401,90,136.65,1092,1198,59,1,1555,36.85,20,0,18,58.9,882,18.333333333333332,6,195.55,1092,1,277,0,3
0.0,59,0.0,3,0,0,6,0,0,3,13,10,0.5,4,72,0,29.142857142857142,167,1085,105,0,160,74.71428571428571,7,0,6,6.285714285714286,17,101.25,4,35.42857142857143,167,0,13,350,0
0.0,35,0.0,0,0,0,3,0,0,0,3,3,1.0,0,19,0,8.966666666666667,66,4902,139,5,25,48.266666666666666,30,0,23,8.133333333333333,83,2684.222222222222,9,17.1,83,1,31,717,0
1.4705882352941178,68,0.0,4,1,0,6,0,0,4,10,6,0.3333333333333333,5,11,0,28.833333333333332,107,675,79,0,126,54.333333333333336,6,0,6,7.833333333333333,24,237.25,4,36.666666666666664,107,1,14,196,0
0.0,18,0.0,0,0,0,1,0,0,3,2,2,1.0,1,1,0,142.22222222222223,1151,1194,53,1,1218,50.44444444444444,9,0,7,6.888888888888889,48,69.0,5,149.11111111111111,1151,0,5,712,0
0.0,133,0.0,6,0,0,17,3,4,5,27,18,0.47058823529411764,13,64,4,20.96153846153846,139,3099,119,10,194,67.92307692307692,26,0,23,13.5,139,4113.1,10,34.46153846153846,278,1,8,5,1
0.0,15,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,33.666666666666664,180,3473,183,2,521,104.16666666666667,18,0,18,4.722222222222222,52,985.0,13,38.388888888888886,180,0,1,163,0
0.0,44,0.0,1,0,0,5,0,0,1,6,5,0.8,5,24,0,11.363636363636363,88,1138,97,0,74,73.63636363636364,11,0,10,4.636363636363637,26,226.1,10,16.0,88,1,6,70,0
0.0,183,0.0,0,0,0,14,0,0,4,47,47,1.0,2,63,2,22.210526315789473,295,2570,82,8,262,73.73684210526316,19,0,15,8.421052631578947,47,595.6666666666666,6,30.63157894736842,295,0,4,1011,1
0.0,66,0.0,0,0,0,13,0,0,0,13,13,1.0,13,13,0,19.266666666666666,136,1464,94,2,201,64.8,15,0,14,5.866666666666666,26,213.375,8,25.133333333333333,136,0,2,53,0
0.0,117,0.0,0,0,0,6,0,0,2,33,33,1.0,3,21,0,20.681818181818183,65,2726,108,0,209,64.72727272727273,22,0,20,11.181818181818182,62,623.0,8,31.863636363636363,111,0,9,350,0
0.0,15,0.0,1,0,0,3,0,0,0,3,2,0.6666666666666666,3,5,0,47.0,93,4489,424,1,65,39.5,2,0,2,14.5,29,1574.5,2,61.5,93,0,2,3640,0
0.0,28,0.0,1,0,0,4,0,0,0,4,3,0.75,2,5,0,13.444444444444445,93,2185,226,3,92,179.11111111111111,9,0,9,3.2222222222222223,19,3423.5,2,16.666666666666668,93,0,5,144,0
0.0,107,0.0,0,0,0,3,0,0,3,12,12,1.0,3,59,0,181.0,181,130,0,0,181,56.0,1,0,1,0.0,0,280.0,1,181.0,181,0,2,130,0
0.0,65,0.0,0,0,0,1,0,0,5,8,8,1.0,1,24,4,9.30952380952381,81,4388,104,4,128,79.11904761904762,42,0,34,6.261904761904762,35,3565.7272727272725,11,15.571428571428571,116,2,11,5,0
0.0,77,0.0,0,0,0,6,0,0,0,19,19,1.0,1,22,0,958.3333333333334,5692,431,46,2,5724,33.333333333333336,6,0,5,4.333333333333333,8,2750.5,2,962.6666666666666,5692,0,8,152,0
0.4329004329004329,231,2.5974025974025974,0,1,6,23,5,0,17,35,30,0.782608695652174,16,53,0,141.66666666666666,394,17,3,0,420,65.0,3,0,3,1.6666666666666667,4,780.0,1,143.33333333333334,394,0,12,8,0
0.0,166,0.0,1,0,0,9,0,0,12,24,21,0.8888888888888888,8,48,0,76.28571428571429,308,923,85,1,251,28.0,7,0,7,40.42857142857143,120,390.3333333333333,3,116.71428571428571,308,0,7,325,1
0.0,39,0.0,5,0,0,5,0,0,4,5,0,0.0,5,5,1,14.4,42,3143,181,2,44,56.333333333333336,15,0,15,11.466666666666667,40,321.5,14,25.866666666666667,74,1,2,424,0
0.0,366,0.0,0,0,0,6,0,4,15,35,35,1.0,5,172,1,31.789473684210527,117,1508,75,3,442,68.94736842105263,19,0,17,8.526315789473685,39,111.85714285714286,7,40.31578947368421,141,0,35,79,2
0.0,24,0.0,1,0,0,5,0,0,0,5,4,0.8,5,5,0,6.2,29,2164,73,0,46,50.12,25,0,22,4.36,13,606.0909090909091,11,10.56,29,0,2,330,0
15.789473684210526,19,0.0,0,3,0,3,0,0,0,3,3,1.0,3,8,0,7.0,35,3921,180,2,101,82.3,20,0,16,1.95,5,933.6,5,8.95,38,1,5,319,0
0.0,31,0.0,0,0,0,1,0,0,1,5,5,1.0,1,17,0,10.9,58,3985,340,1,76,73.6,10,0,10,3.3,24,2384.0,5,14.2,58,0,6,583,0
0.0,48,0.0,3,0,0,5,0,0,3,13,10,0.4,5,9,0,19.285714285714285,60,1778,171,3,71,65.28571428571429,7,0,7,9.142857142857142,60,462.6666666666667,3,28.428571428571427,60,0,1,576,0
0.0,133,0.0,5,0,0,10,0,0,8,21,16,0.5,0,59,0,52.2,211,771,133,0,209,58.8,5,0,5,10.4,44,3829.0,1,62.6,211,1,4,104,0
0.0,22,0.0,0,0,0,2,1,0,2,3,2,0.5,2,3,0,58.125,748,666,31,2,799,40.625,16,0,13,8.1875,71,668.1666666666666,6,66.3125,748,1,4,162,0
0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,58,2225,129,1,70,71.6,10,0,9,4.2,17,63.0,8,15.4,58,1,15,929,0
0.0,11,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,10.4,15,3993,123,4,36,100.6,5,0,5,3.2,15,1403.6666666666667,3,13.6,28,0,1,3376,0
6.363636363636363,110,0.0,2,7,0,15,0,0,4,28,26,0.8666666666666667,2,62,0,19.341772151898734,161,3031,38,6,248,63.48101265822785,79,0,63,16.20253164556962,327,313.92857142857144,14,35.54430379746835,380,7,18,0,0
0.0,58,0.0,1,0,0,5,1,1,2,13,11,0.6,4,24,0,14.85,110,5117,238,1,136,51.45,20,0,20,08.05,94,211.44444444444446,9,22.9,204,0,6,356,0
0.0,73,0.0,0,0,0,7,0,0,0,13,13,1.0,6,40,0,21.7,106,3655,131,2,143,133.3,10,0,8,7.4,29,392.25,4,29.1,119,0,11,2338,0
0.0,48,0.0,0,0,0,5,0,0,0,15,15,1.0,5,19,0,13.833333333333334,43,3239,371,3,75,109.66666666666667,6,0,6,1.3333333333333333,4,395.0,4,15.166666666666666,47,0,14,1011,0
0.0,47,0.0,6,0,0,6,0,0,6,6,0,0.0,6,6,0,40.2,151,904,73,3,123,35.8,5,0,4,15.6,72,210.66666666666666,3,55.8,151,1,16,539,0
0.0,27,0.0,3,0,0,5,1,0,1,5,1,0.2,5,6,1,31.0,31,1006,0,0,31,27.0,1,0,1,0.0,0,49.0,1,31.0,31,0,1,1006,0
0.0,31,0.0,3,0,0,5,1,0,1,5,1,0.2,5,9,0,12.0,92,5467,287,0,88,90.78947368421052,19,0,19,7.368421052631579,39,1081.8,5,19.36842105263158,92,5,5,8,0
0.0,34,0.0,0,0,0,16,0,0,0,16,16,1.0,0,16,0,6.78125,40,5314,165,12,58,69.90625,32,0,30,4.96875,46,1442.0,3,11.75,86,6,5,9,0
0.0,41,0.0,0,0,0,2,0,0,0,7,7,1.0,2,16,0,3387.156862745098,36359,3853,24,4,254256,102.11764705882354,153,0,145,1725.3529411764705,31627,243.92156862745097,51,5112.509803921569,67986,5,4,52,0
0.0,28,0.0,2,0,0,4,2,0,2,4,0,0.0,4,4,0,16.11764705882353,49,4458,191,2,50,116.05882352941177,17,0,15,13.176470588235293,50,721.8333333333334,6,29.294117647058822,98,0,2,1208,0
0.0,58,0.0,0,0,0,5,0,1,2,8,8,1.0,5,20,0,23.085714285714285,176,6029,147,6,198,107.82857142857142,35,0,29,17.428571428571427,174,237.55555555555554,9,40.51428571428571,350,0,5,850,0
0.0,182,0.0,4,0,0,16,3,0,0,44,34,0.5625,15,42,0,354.0,383,3026,378,0,364,27.0,2,0,2,172.0,344,335.0,2,526.0,669,0,35,2270,0
0.0,489,0.0,0,0,0,19,0,0,13,78,78,1.0,8,267,0,263.0,1034,4734,110,0,1037,48.75,4,0,4,3.75,13,808.5,4,266.75,1034,0,60,4294,3
0.0,249,0.0,2,0,0,15,0,2,4,46,44,0.8666666666666667,10,21,2,434.0,434,115,0,0,434,60.0,1,0,1,0.0,0,388.0,1,434.0,434,0,8,115,0
0.0,116,0.0,0,0,0,7,0,0,1,21,21,1.0,7,50,1,32.785714285714285,229,1000,5,1,209,42.285714285714285,14,0,12,17.857142857142858,90,202.0,1,50.642857142857146,229,2,11,928,0
0.0,61,0.0,0,0,0,3,1,0,1,12,11,0.6666666666666666,3,16,0,122.0,122,2725,0,1,122,57.0,1,0,1,0.0,0,213.0,1,122.0,122,0,4,2725,0
0.0,35,0.0,1,0,0,7,0,0,0,10,9,0.8571428571428571,7,10,0,25.636363636363637,109,3599,252,1,105,36.54545454545455,11,0,11,16.09090909090909,109,356.7142857142857,7,41.72727272727273,109,0,3,819,0
0.0,18,0.0,0,0,0,8,0,0,0,8,8,1.0,0,8,0,9.0,46,843,67,1,47,34.666666666666664,9,0,9,3.7777777777777777,20,109.0,6,12.777777777777779,46,0,6,233,0
0.0,18,0.0,0,0,0,1,0,0,0,4,4,1.0,1,7,0,15.272727272727273,116,3896,317,1,52,116.36363636363636,11,0,10,10.545454545454545,61,379.5,2,25.818181818181817,116,2,2,406,0
0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2,27.0,27,218,0,0,27,60.0,1,0,1,0.0,0,223.0,1,27.0,27,0,1,218,0
0.0,373,0.0,7,0,0,24,1,0,20,68,57,0.6666666666666666,20,61,0,581.5,896,1177,578,0,1152,50.5,2,0,2,5.5,11,261.5,2,587.0,896,0,123,21,1
0.0,22,0.0,0,0,0,2,0,0,0,2,2,1.0,2,2,0,43.34782608695652,416,2492,99,5,589,56.52173913043478,23,0,22,17.73913043478261,238,2323.285714285714,7,61.08695652173913,514,4,2,199,0
0.0,31,0.0,0,0,0,3,0,0,1,5,5,1.0,2,8,0,41.09090909090909,433,4129,360,1,434,116.36363636363636,11,0,11,1.6363636363636365,6,3829.0,1,42.72727272727273,433,1,4,169,0
0.0,28,0.0,0,0,0,5,0,0,0,5,5,1.0,5,11,0,10.333333333333334,34,586,61,2,71,36.0,9,0,7,2.4444444444444446,9,37.333333333333336,3,12.777777777777779,36,0,2,33,0
0.0,108,0.0,3,0,0,7,0,3,2,13,10,0.5714285714285714,6,15,0,213.0,213,367,0,0,213,18.0,1,0,1,0.0,0,34.0,1,213.0,213,0,3,367,0
0.0,42,0.0,0,0,0,3,0,0,3,5,5,1.0,1,12,3,34.333333333333336,69,800,175,0,80,55.666666666666664,3,0,2,7.666666666666667,20,420.0,1,42.0,69,0,4,273,0
4.878048780487805,287,4.529616724738676,2,14,13,15,0,5,14,51,49,0.8666666666666667,7,151,4,189.33333333333334,353,177,34,2,480,48.666666666666664,3,0,3,29.333333333333332,83,263.0,1,218.66666666666666,436,0,53,74,1
0.0,33,0.0,0,0,0,3,0,0,1,3,3,1.0,3,29,0,11.833333333333334,99,6259,224,5,55,76.625,24,0,22,9.541666666666666,52,754.9,10,21.375,99,1,4,883,0
0.0,24,0.0,0,0,0,2,0,0,1,3,3,1.0,2,9,0,14.285714285714286,61,1454,122,1,50,34.0,7,0,7,7.142857142857143,23,122.4,5,21.428571428571427,61,0,1,595,0
0.0,22,0.0,0,0,0,2,0,0,0,2,2,1.0,0,28,0,16.833333333333332,55,2634,372,1,73,39.833333333333336,6,0,6,4.666666666666667,25,446.6,5,21.5,55,0,4,399,0
0.0,20,0.0,1,0,0,2,0,0,1,2,1,0.5,1,7,0,10.5,59,1302,74,1,44,55.666666666666664,12,0,10,6.833333333333333,45,116.8,5,17.333333333333332,59,0,3,413,0
0.0,94,0.0,6,0,0,15,0,0,1,22,16,0.6,15,22,0,42.4,109,1392,20,0,127,59.0,5,0,5,17.0,63,133.0,3,59.4,112,0,6,1290,0
0.0,45,0.0,0,0,0,2,0,0,0,23,23,1.0,1,45,0,17.333333333333332,91,965,58,2,183,32.0,12,0,11,2.0833333333333335,12,859.0,2,19.416666666666668,91,1,7,266,0
0.0,190,0.0,3,0,0,15,0,11,1,24,21,0.8,7,102,0,14.571428571428571,74,5460,191,5,274,68.14285714285714,28,0,25,4.785714285714286,46,702.875,8,19.357142857142858,79,5,6,87,0
0.0,29,0.0,2,0,0,4,1,0,3,4,1,0.25,4,4,0,14.375,107,976,100,3,85,81.75,8,0,7,3.75,28,322.8,5,18.125,107,0,8,175,0
0.0,40,0.0,0,0,0,1,0,0,2,7,7,1.0,1,11,0,57.0,57,167,0,0,57,65.0,1,0,1,0.0,0,133.0,1,57.0,57,0,13,167,0
0.0,62,0.0,0,0,0,7,0,0,2,14,14,1.0,7,30,0,35.333333333333336,104,547,155,0,104,40.0,3,0,3,0.6666666666666666,1,2596.3333333333335,3,36.0,104,0,2,80,0
0.0,94,0.0,2,0,0,13,1,0,0,19,16,0.7692307692307693,13,20,0,38.36363636363637,220,2833,242,0,226,85.27272727272727,11,0,11,17.818181818181817,150,650.1428571428571,7,56.18181818181818,220,0,7,163,0
0.0,27,0.0,2,0,0,3,0,0,1,3,1,0.3333333333333333,3,6,0,7.777777777777778,32,1565,31,1,96,59.94444444444444,18,0,16,2.4444444444444446,17,254.4,5,10.222222222222221,39,1,1,997,0
0.0,17,0.0,1,0,0,2,0,0,0,2,1,0.5,2,3,0,20.444444444444443,101,5143,85,2,74,35.111111111111114,9,0,9,12.222222222222221,34,1158.6666666666667,3,32.666666666666664,101,0,2,4378,0
0.0,45,0.0,0,0,0,3,0,0,4,7,7,1.0,0,15,0,9.363636363636363,61,2700,101,3,69,76.45454545454545,11,0,11,3.090909090909091,10,173.0,4,12.454545454545455,61,1,9,1587,0
0.0,14,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,55.1764705882353,208,921,34,0,648,43.35294117647059,17,0,15,17.058823529411764,119,1586.3333333333333,3,72.23529411764706,260,2,2,333,0
0.0,16,0.0,0,0,0,1,0,0,0,2,2,1.0,1,5,0,9.88888888888889,47,2786,200,1,43,64.55555555555556,9,0,8,5.111111111111111,23,2761.5,2,15.0,47,1,4,983,0
0.0,20,0.0,1,0,0,2,0,0,1,3,2,0.5,2,8,0,78.3076923076923,599,423,29,2,679,79.07692307692308,13,0,12,26.076923076923077,222,352.5,2,104.38461538461539,599,2,2,36,0
0.0,32,0.0,0,0,0,1,0,0,0,8,8,1.0,1,17,0,31.5,55,2243,188,0,56,169.5,2,0,2,3.5,7,1714.0,1,35.0,55,0,4,1867,0
0.0,42,0.0,0,0,0,3,0,0,1,4,4,1.0,3,22,0,9.461538461538462,72,1201,85,0,21,75.6923076923077,13,0,10,7.846153846153846,74,94.85714285714286,7,17.307692307692307,74,0,8,94,0
0.0,270,0.0,0,0,0,2,0,0,0,54,54,1.0,2,128,0,1167.3968253968253,23318,2726,42,4,45465,82.88888888888889,63,0,57,445.73015873015873,4146,578.6,15,1613.126984126984,23318,2,23,22,0
0.0,49,0.0,2,0,0,4,0,0,0,4,2,0.5,4,10,0,6.636363636363637,31,2308,103,3,89,128.04545454545453,22,0,18,2.590909090909091,11,98.5,12,9.227272727272727,39,1,8,23,0
0.0,68,0.0,4,0,0,7,0,0,4,11,7,0.42857142857142855,7,37,3,6.596774193548387,83,1878,28,12,109,53.45161290322581,62,0,54,4.838709677419355,65,1564.1666666666667,6,11.435483870967742,101,3,4,96,0
0.0,76,0.0,8,0,0,13,0,0,2,13,5,0.38461538461538464,13,13,0,94.0,172,389,0,1,188,130.0,2,0,1,0.0,0,288.0,1,94.0,172,0,1,389,0
0.0,75,0.0,0,0,0,5,0,0,7,6,6,1.0,3,24,0,22.41176470588235,128,577,9,9,165,47.529411764705884,17,0,13,12.705882352941176,51,188.33333333333334,3,35.11764705882353,134,0,1,413,1
0.0,22,0.0,0,0,0,5,0,0,0,5,5,1.0,5,14,0,1906.6666666666667,4770,996,61,0,4872,79.66666666666667,3,0,3,282.6666666666667,523,42.5,2,2189.3333333333335,4770,0,1,813,0
0.0,86,0.0,0,0,0,42,0,0,0,42,42,1.0,4,42,0,5.963636363636364,83,3143,49,15,45,88.92727272727272,55,0,47,5.1454545454545455,119,406.44444444444446,27,11.10909090909091,119,6,47,424,0
0.0,16,0.0,1,0,0,1,0,2,1,1,0,0.0,1,1,0,8.692307692307692,49,4409,339,1,50,96.76923076923077,13,0,13,4.846153846153846,52,161.6,5,13.538461538461538,101,0,1,2,0
0.0,11,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,5.714285714285714,23,2774,96,1,36,131.57142857142858,7,0,7,0.5714285714285714,2,1240.0,3,6.285714285714286,23,0,3,2096,0
0.0,34,0.0,0,0,0,2,0,0,1,7,7,1.0,2,14,0,5.357142857142857,31,3236,137,1,59,77.71428571428571,14,0,13,1.1428571428571428,6,1437.5,2,6.5,31,1,3,1313,0
0.0,32,0.0,0,0,0,2,0,0,0,6,6,1.0,0,12,0,7.243243243243243,63,1878,41,2,81,63.62162162162162,37,0,31,5.054054054054054,66,1671.6666666666667,6,12.297297297297296,69,1,2,340,0
0.0,44,0.0,1,0,0,2,0,0,4,6,5,0.5,2,9,0,39.968503937007874,830,5313,41,51,1760,102.54330708661418,127,0,109,26.11023622047244,801,1123.5,4,66.07874015748031,1631,20,1,9,0
0.0,92,0.0,6,0,0,8,0,0,5,28,22,0.25,8,10,0,92.0,92,716,0,0,92,16.0,1,0,1,0.0,0,763.0,1,92.0,92,0,1,716,0
1.8867924528301887,53,1.8867924528301887,0,1,1,3,0,0,2,9,9,1.0,2,15,0,33.333333333333336,98,542,16,2,97,78.0,3,0,3,1.0,3,4629.0,1,34.333333333333336,98,0,5,494,0
0.0,29,0.0,1,0,0,3,0,1,0,6,5,0.6666666666666666,3,10,0,7.9,36,4443,249,0,65,63.5,10,0,9,1.4,6,1789.5,2,9.3,36,0,3,1951,0
0.5102040816326531,196,0.0,1,1,0,7,0,1,27,38,37,0.8571428571428571,1,94,24,26.612244897959183,299,4443,89,2,373,69.42857142857143,49,0,34,19.0,293,564.3636363636364,11,45.61224489795919,586,9,22,71,2
0.0,51,0.0,8,0,0,8,0,0,8,8,0,0.0,8,24,0,1245.75,4230,1010,100,0,4160,46.0,4,0,4,205.75,795,832.0,2,1451.5,4230,0,1,609,0
0.0,12,0.0,0,0,0,1,0,0,0,2,2,1.0,1,6,0,20.714285714285715,119,1969,280,0,128,56.714285714285715,7,0,7,2.4285714285714284,8,159.66666666666666,3,23.142857142857142,119,0,2,9,0
0.0,39,0.0,3,0,0,5,1,0,2,8,3,0.2,5,7,2,9.272727272727273,76,3802,345,1,89,79.18181818181819,11,0,10,1.1818181818181819,4,1536.857142857143,7,10.454545454545455,76,0,6,2,0
0.0,89,0.0,0,0,0,3,0,0,2,19,19,1.0,3,49,0,171.0,171,1082,2,1,171,18.5,2,0,2,85.5,171,121.0,2,256.5,342,0,3,1077,2
0.0,78,0.0,0,0,0,25,0,0,0,25,25,1.0,0,25,0,53.5,107,569,84,0,107,56.0,2,0,2,0.0,0,1275.5,2,53.5,107,0,27,400,0
0.0,30,0.0,0,0,0,2,0,0,2,3,3,1.0,2,13,0,13654.666666666666,28951,1013,108,0,60012,23.166666666666668,6,0,6,3652.6666666666665,9143,27.75,4,17307.333333333332,36890,0,3,364,0
0.0,20,0.0,0,0,0,2,0,0,0,3,3,1.0,1,14,0,39.4025974025974,1120,4349,37,1,1263,113.51948051948052,77,0,71,23.0,270,375.8888888888889,9,62.4025974025974,1120,2,1,1445,0
0.0,548,0.0,7,0,0,57,6,0,8,115,90,0.7719298245614035,51,132,0,3077.6428571428573,29374,2012,71,4,46909,124.78571428571429,28,0,25,1402.3214285714287,17693,88.625,16,4479.964285714285,47067,2,50,19,2
0.0,318,0.0,0,0,0,33,0,0,1,96,96,1.0,32,139,0,77.18181818181819,382,2288,22,2,450,131.9090909090909,11,0,11,36.27272727272727,349,401.5,2,113.45454545454545,712,0,2,2043,0
0.0,24,0.0,2,0,0,3,0,0,0,4,2,0.3333333333333333,2,4,0,4079.5,31756,1867,5,23,173575,49.69897959183673,196,0,142,3193.9132653061224,123120,323.0,13,7273.413265306122,154876,1,2,700,0
0.0,51,0.0,8,0,0,8,0,0,8,8,0,0.0,8,24,0,1382.0,1382,1011,0,0,1382,14.0,1,0,1,0.0,0,112.0,1,1382.0,1382,0,1,1011,0
0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,20.6,53,929,171,0,65,63.8,5,0,5,7.6,22,500.0,4,28.2,53,0,1,70,0
0.0,12,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,12.038461538461538,67,5511,75,4,41,71.42307692307692,26,0,23,10.461538461538462,50,914.25,8,22.5,67,3,1,3536,0
0.2604166666666667,768,0.2604166666666667,13,2,2,80,0,3,10,181,167,0.8375,75,121,2,71.17647058823529,882,1588,78,1,1146,54.1764705882353,17,0,17,3.764705882352941,39,532.0,2,74.94117647058823,882,0,92,255,3
0.0,49,0.0,1,0,0,4,0,0,1,10,9,0.75,1,11,0,41.0,82,3027,1495,1,82,51.0,2,0,2,0.0,0,2682.5,2,41.0,82,0,1,37,0
0.0,52,0.0,4,0,0,6,2,0,1,6,0,0.0,6,6,0,29.0,80,2527,420,0,85,118.66666666666667,3,0,3,0.6666666666666666,2,1341.5,2,29.666666666666668,80,0,2,1265,0
0.0,68,0.0,0,0,0,4,2,0,4,14,12,0.5,4,20,0,27.307692307692307,178,5609,425,4,111,89.53846153846153,13,0,12,18.76923076923077,74,275.14285714285717,7,46.07692307692308,178,0,3,84,0
0.0,44,0.0,0,0,0,3,0,0,1,10,10,1.0,1,17,0,11.833333333333334,65,1332,175,0,65,34.333333333333336,6,0,6,1.0,2,990.5,4,12.833333333333334,65,0,6,279,0
0.0,42,0.0,0,0,0,1,0,1,5,3,3,1.0,1,12,0,18.428571428571427,105,668,91,2,103,50.142857142857146,7,0,7,3.7142857142857144,15,184.83333333333334,6,22.142857142857142,105,0,7,25,0
0.0,42,0.0,3,0,0,6,3,0,3,6,0,0.0,6,6,0,11.857142857142858,63,172,17,0,67,48.0,7,0,6,2.2857142857142856,11,228.33333333333334,3,14.142857142857142,63,0,6,53,0
0.0,34,0.0,0,0,0,3,0,0,1,5,5,1.0,1,14,0,6.9411764705882355,33,4604,241,3,74,116.6470588235294,17,0,14,2.588235294117647,8,713.0,5,9.529411764705882,33,0,5,506,0
0.0,53,0.0,5,0,0,7,1,0,0,8,1,0.14285714285714285,6,22,0,79.0,79,546,0,0,79,18.0,1,0,1,0.0,0,1.0,1,79.0,79,0,6,546,0
0.0,73,0.0,3,0,0,7,1,0,4,11,5,0.42857142857142855,6,7,0,12.6,135,3647,99,4,161,59.9,20,0,17,4.55,60,161.75,4,17.15,135,0,18,1656,0
