id,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,AverageTimeBetweenChanges,Severity
604,0.0,17,0.0,0,0,0,2,0,0,1,4,4,1.0,0,11,0,160,0
605,0.0,19,0.0,2,0,0,2,0,0,2,2,0,0.0,0,2,0,18,0
606,0.0,681,0.0,6,0,0,32,5,0,7,161,150,0.65625,5,215,0,234,0
607,0.0,150,0.0,6,0,0,12,0,0,6,36,30,0.5,12,47,5,25,0
608,0.0,55,0.0,1,0,0,6,0,0,1,11,10,0.8333333333333334,4,9,0,190,0
609,0.0,29,0.0,1,0,0,3,0,0,1,5,4,0.6666666666666666,3,6,0,70,0
610,0.0,55,0.0,2,0,0,6,0,0,0,10,8,0.6666666666666666,5,14,0,91,0
611,0.0,10,0.0,0,0,0,3,0,0,0,3,3,1.0,0,4,0,78,0
612,0.0,12,0.0,0,0,0,2,0,0,0,2,2,1.0,2,4,0,0,0
613,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,230,0
614,0.0,69,0.0,11,0,0,11,0,0,11,11,0,0.0,11,33,0,29,1
615,0.0,20,0.0,2,0,0,2,0,0,1,2,0,0.0,2,5,0,45,0
616,0.0,221,0.0,3,0,0,17,0,1,4,45,42,0.8235294117647058,15,112,0,49,0
617,0.0,14,0.0,0,0,0,2,0,0,0,2,2,1.0,1,5,0,30,0
618,0.0,10,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,98,0
619,0.0,12,0.0,2,0,0,3,0,0,0,3,1,0.3333333333333333,3,3,0,94,0
620,0.0,12,0.0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,2,1
621,0.0,31,0.0,1,0,0,4,1,0,1,6,4,0.5,3,8,0,324,0
622,0.0,108,0.0,0,0,0,12,10,10,0,23,13,0.1666666666666666,11,41,0,4,1
623,0.0,35,0.0,3,0,0,3,0,0,0,3,0,0.0,3,3,0,31,2
624,15.789473684210526,19,0.0,0,3,0,4,0,0,0,4,4,1.0,0,6,0,324,0
625,0.0,334,0.0,1,0,0,18,0,0,4,105,103,0.9444444444444444,6,73,0,218,0
626,0.0,92,0.0,2,0,0,13,0,0,1,18,16,0.8461538461538461,13,24,0,70,0
627,0.0,12,0.0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,462,0
628,0.0,33,0.0,1,0,0,6,3,0,0,6,2,0.3333333333333333,5,9,0,170,0
629,0.0,6,33.333333333333336,0,0,2,1,0,0,0,1,1,1.0,1,3,0,254,0
630,0.0,82,0.0,1,0,0,8,0,0,0,18,17,0.875,2,13,0,168,0
631,0.0,99,0.0,0,0,0,11,0,0,0,24,24,1.0,3,67,0,42,0
632,0.0,28,0.0,0,0,0,7,0,0,0,7,7,1.0,7,7,0,56,0
633,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,938,0
634,0.0,1295,0.0,24,0,0,73,7,1,21,286,250,0.5753424657534246,70,334,7,61,1
635,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,3,0,125,0
636,0.0,142,0.0,0,0,0,2,0,0,2,27,27,1.0,2,83,0,315,0
637,0.0,21,0.0,0,0,0,4,0,0,0,4,4,1.0,4,7,0,373,0
638,0.0,21,9.523809523809524,0,0,2,3,0,0,0,3,3,1.0,1,9,0,58,0
639,0.0,8,0.0,0,0,0,1,0,0,0,2,2,1.0,1,3,0,207,0
640,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,400,0
641,0.0,94,0.0,1,0,0,12,0,0,2,21,20,0.9166666666666666,8,15,0,63,0
642,0.0,124,0.0,8,0,0,19,6,0,3,21,7,0.2631578947368421,18,26,0,129,2
643,0.0,35,0.0,0,0,0,7,0,0,0,7,7,1.0,7,8,0,123,0
644,0.0,46,0.0,0,0,0,3,0,0,0,9,9,1.0,3,31,0,97,0
645,0.0,142,0.0,14,0,0,28,14,0,14,28,0,0.0,28,33,0,52,3
646,0.0,18,0.0,0,0,0,1,0,0,3,1,1,1.0,0,5,3,30,0
647,0.0,26,0.0,0,0,0,2,0,0,0,4,4,1.0,0,13,0,58,0
648,0.0,64,0.0,0,0,0,6,0,4,2,11,11,1.0,6,33,0,152,0
649,0.0,148,0.0,0,0,0,11,0,0,3,32,32,1.0,9,19,0,158,0
650,0.0,87,0.0,0,0,0,5,1,0,0,15,13,0.8,2,39,0,555,0
651,0.0,26,0.0,0,0,0,2,0,0,1,3,3,1.0,2,12,0,461,0
652,0.0,12,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,171,0
653,0.0,13,0.0,0,0,0,1,0,0,0,2,2,1.0,1,3,0,295,0
654,0.0,52,0.0,1,0,0,6,0,0,1,10,9,0.8333333333333334,6,35,0,38,0
655,0.0,94,0.0,0,0,0,14,0,0,0,14,14,1.0,0,14,0,0,1
656,0.0,20,0.0,0,0,0,7,0,0,0,7,7,1.0,0,7,0,144,0
657,0.0,9,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,222,0
658,0.0,26,0.0,2,0,0,3,0,0,0,4,2,0.3333333333333333,3,7,0,228,0
659,0.0,26,0.0,1,0,0,3,1,0,0,3,1,0.3333333333333333,3,6,0,2,0
660,0.0,75,0.0,0,0,0,2,0,0,0,23,23,1.0,2,31,0,126,0
661,0.0,283,0.0,1,0,0,13,0,18,0,43,42,0.9230769230769232,5,95,0,210,0
662,0.0,242,0.0,5,0,0,15,2,2,6,50,43,0.5333333333333333,12,101,0,104,0
663,0.0,36,0.0,3,0,0,5,2,0,1,5,0,0.0,5,5,0,136,0
664,0.0,10,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0
665,6.25,32,3.125,1,2,1,4,0,0,1,5,4,0.75,2,18,0,226,0
666,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,31,0
667,0.0,17,0.0,0,0,0,1,0,0,0,2,2,1.0,1,1,0,253,0
668,0.0,82,0.0,3,0,0,9,0,0,2,14,11,0.6666666666666666,6,29,0,115,0
669,0.0,17,0.0,0,0,0,3,0,0,0,3,3,1.0,3,8,0,11,0
670,0.0,14,0.0,0,0,0,1,0,0,0,3,3,1.0,1,3,0,109,0
671,0.0,14,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,39,0
672,0.0,39,0.0,2,0,0,4,0,0,2,5,3,0.5,4,19,0,0,0
673,0.0,152,0.0,7,0,0,17,1,0,4,30,22,0.5294117647058824,17,66,0,91,0
674,0.0,74,0.0,0,0,0,5,0,0,5,14,14,1.0,3,89,0,74,0
675,0.0,75,0.0,3,0,0,6,0,0,1,14,11,0.5,5,43,0,127,0
676,0.0,170,0.0,5,0,0,13,0,0,4,23,18,0.6153846153846154,13,48,0,0,0
677,0.0,34,0.0,0,0,0,4,0,0,0,4,4,1.0,0,4,0,57,0
678,0.0,364,0.0,7,0,0,26,0,0,16,68,61,0.7307692307692307,14,200,0,62,0
679,0.0,21,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,85,2
680,0.0,13,0.0,0,0,0,1,0,0,1,1,1,1.0,1,4,1,151,0
681,0.0,4,0.0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,119,0
682,0.0,33,0.0,3,0,0,4,0,0,0,7,4,0.25,2,5,0,46,0
683,0.0,10,0.0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,694,0
684,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,265,0
685,0.0,18,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,0,53,0
686,0.0,52,0.0,0,0,0,3,0,0,4,5,5,1.0,2,12,0,38,0
687,0.0,183,0.0,0,0,0,8,0,0,1,34,34,1.0,4,31,0,386,0
688,0.0,49,0.0,5,0,0,7,0,0,4,8,3,0.2857142857142857,7,8,0,824,2
689,0.0,9,0.0,0,0,0,1,0,0,0,1,1,1.0,0,2,0,252,0
690,0.0,467,0.4282655246252677,6,0,2,35,1,0,11,121,112,0.8,6,61,0,45,0
691,0.0,28,0.0,1,0,0,3,0,0,2,3,2,0.6666666666666666,2,5,0,51,0
692,0.5571030640668524,359,0.0,26,2,0,52,18,0,19,75,28,0.1538461538461538,49,91,19,53,0
693,0.0,26,0.0,2,0,0,4,2,0,2,4,0,0.0,4,4,0,96,1
694,0.0,13,0.0,0,0,0,0,0,0,5,0,0,0.0,0,0,0,610,2
695,0.0,14,0.0,1,0,0,1,0,0,1,1,0,0.0,1,2,0,408,0
696,0.0,79,0.0,0,0,0,3,0,0,2,10,10,1.0,2,22,0,164,0
697,0.0,7,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,244,0
698,0.0,55,0.0,5,0,0,10,4,0,4,11,2,0.1,10,11,0,59,1
699,0.0,13,7.6923076923076925,1,0,1,3,0,0,0,3,2,0.6666666666666666,0,4,0,0,0
700,0.0,27,0.0,0,0,0,3,0,0,0,4,4,1.0,2,3,0,183,0
701,0.0,7,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,94,0
702,0.0,7,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,335,0
703,0.0,40,0.0,2,0,0,5,0,0,3,6,4,0.6,5,14,0,227,0
704,0.0,112,0.0,0,0,0,20,0,0,0,26,26,1.0,19,28,0,46,0
705,0.0,78,0.0,1,0,0,3,0,0,1,15,14,0.6666666666666666,1,22,0,291,0
706,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,169,0
707,0.0,22,0.0,0,0,0,1,0,0,2,2,2,1.0,1,7,0,52,0
708,0.0,179,0.0,0,0,0,25,0,0,1,43,43,1.0,18,58,0,65,0
709,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,8,0
710,0.0,24,0.0,0,0,0,2,0,0,0,7,7,1.0,2,5,0,30,0
711,0.0,12,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,116,0
712,0.0,47,0.0,1,0,0,4,0,0,2,6,5,0.75,4,17,0,116,0
713,0.0,26,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0,145,1
714,0.0,57,0.0,0,0,0,6,0,0,2,9,9,1.0,5,9,0,274,0
715,0.0,10,20.0,0,0,2,1,0,0,0,1,1,1.0,1,8,0,61,0
716,0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,2,0,92,0
717,0.0,64,0.0,0,0,0,3,0,0,0,17,17,1.0,2,22,0,199,0
718,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,255,0
719,0.0,47,0.0,0,0,0,3,0,4,3,8,8,1.0,3,6,0,236,0
720,0.0,8,0.0,0,0,0,1,0,1,0,1,1,1.0,1,2,0,116,0
721,0.0,63,0.0,10,0,0,10,0,0,10,10,0,0.0,10,30,0,18,1
722,6.0606060606060606,33,9.090909090909092,1,2,3,3,0,0,5,4,3,0.6666666666666666,2,19,0,36,0
723,0.0,104,0.0,0,0,0,8,0,6,0,10,10,1.0,8,13,0,462,0
724,0.0,44,0.0,0,0,0,4,0,0,2,8,8,1.0,3,12,0,87,0
725,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,64,0
726,0.0,38,0.0,1,0,0,5,0,0,1,7,6,0.8,5,10,0,96,0
727,0.0,92,0.0,0,0,0,4,0,0,5,14,14,1.0,4,55,2,17,0
728,0.0,14,0.0,0,0,0,1,0,0,0,2,2,1.0,1,7,0,68,0
729,0.0,294,0.0,0,0,0,2,0,1,0,42,42,1.0,2,253,0,104,0
730,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,8,0
731,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,190,0
732,0.0,17,0.0,0,0,0,1,0,0,1,1,1,1.0,1,3,0,52,0
733,0.0,41,0.0,4,0,0,5,0,0,2,7,3,0.2,4,12,0,714,0
734,0.0,178,0.0,4,0,0,21,2,2,8,34,28,0.7142857142857143,17,58,4,60,1
735,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,100,0
736,0.0,39,0.0,0,0,0,1,0,1,0,7,7,1.0,1,19,0,36,0
737,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
738,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,2,0
739,0.0,29,0.0,0,0,0,2,0,0,3,3,3,1.0,2,9,0,412,0
740,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,178,2
741,0.0,22,0.0,0,0,0,1,0,0,5,1,1,1.0,0,8,4,93,0
742,0.0,138,0.0,4,0,0,14,0,0,10,20,16,0.7142857142857143,13,54,5,48,0
743,0.0,20,0.0,2,0,0,4,0,0,0,4,2,0.5,4,4,0,227,0
744,0.0,8,0.0,0,0,0,3,0,0,0,3,3,1.0,0,3,0,43,0
745,0.0,84,0.0,0,0,0,5,0,0,2,12,12,1.0,1,29,0,61,0
746,0.0,135,0.0,2,0,0,14,0,0,2,31,29,0.8571428571428571,13,35,0,110,0
747,0.0,40,0.0,0,0,0,3,0,0,1,6,6,1.0,3,16,0,65,0
748,0.0,62,0.0,1,0,0,8,0,0,0,9,8,0.875,0,16,0,0,0
749,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,90,0
750,0.0,12,0.0,0,0,0,1,0,0,1,1,1,1.0,0,5,0,53,0
751,0.0,18,0.0,1,0,0,2,0,0,1,2,1,0.5,2,4,0,2,0
752,0.0,64,0.0,1,0,0,11,0,0,0,11,10,0.9090909090909092,6,30,0,157,0
753,0.0,104,0.0,9,0,0,16,0,0,4,16,7,0.4375,16,23,0,245,1
754,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,152,0
755,0.0,214,0.0,12,0,0,27,0,0,10,41,29,0.5555555555555556,23,65,0,43,1
756,0.0,20,0.0,0,0,0,2,0,0,1,3,3,1.0,2,4,0,64,0
757,0.0,17,0.0,0,0,0,1,0,2,1,1,1,1.0,0,5,0,417,0
758,0.0,12,0.0,0,0,0,2,0,0,0,2,2,1.0,1,3,0,6,0
759,0.0,17,0.0,0,0,0,1,0,0,0,2,2,1.0,0,2,0,117,0
760,0.0,224,0.0,9,0,0,39,0,0,2,44,35,0.7692307692307693,39,95,0,38,0
761,0.0,36,0.0,1,0,0,6,0,0,0,6,5,0.8333333333333334,6,8,0,104,0
762,0.0,50,0.0,3,0,0,5,0,0,4,7,4,0.4,5,14,0,60,1
763,0.0,367,0.0,0,0,0,13,0,0,40,62,62,1.0,1,141,42,51,1
764,0.0,4,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,39,0
765,0.0,67,0.0,0,0,0,2,0,0,1,17,17,1.0,2,31,0,301,0
766,250.0,4,0.0,0,10,0,0,0,0,0,0,0,0.0,0,50,0,120,0
767,0.0,19,0.0,0,0,0,2,0,0,0,3,3,1.0,2,13,0,6,0
768,0.0,4,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,4,0
769,0.0,10,0.0,0,0,0,4,0,0,0,4,4,1.0,4,4,0,2,0
770,0.0,42,0.0,0,0,0,5,0,0,1,6,6,1.0,5,12,0,0,0
771,0.0,548,0.0,17,0,0,43,1,0,22,100,82,0.5813953488372093,23,120,0,12,1
772,0.0,166,0.0,0,0,0,6,0,0,3,34,34,1.0,2,108,0,129,0
773,0.0,96,0.0,0,0,0,9,0,0,1,24,24,1.0,8,16,0,87,0
774,0.0,36,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,397,0
775,0.0,102,0.0,1,0,0,17,0,0,4,19,18,0.9411764705882352,17,31,0,258,0
776,0.0,18,0.0,1,0,0,1,0,0,1,1,0,0.0,1,5,0,339,0
777,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,53,0
778,0.0,15,0.0,0,0,0,2,0,0,0,2,2,1.0,1,4,0,182,0
779,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,214,0
780,0.0,19,0.0,0,0,0,1,0,0,0,3,3,1.0,1,7,0,120,0
781,0.0,12,0.0,0,0,0,1,0,0,2,2,2,1.0,1,8,0,0,0
782,0.0,46,0.0,1,0,0,2,0,0,0,7,6,0.5,2,8,0,149,0
783,0.0,242,0.0,0,0,0,13,0,2,2,32,32,1.0,12,118,1,37,0
784,0.0,21,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,6,29,0
785,0.0,185,0.0,7,0,0,21,0,0,13,33,26,0.6666666666666666,15,50,0,206,0
786,0.0,12,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,185,1
787,0.0,62,0.0,3,0,0,10,3,0,4,13,7,0.4,6,28,0,1118,0
788,0.0,26,0.0,0,0,0,1,0,0,5,2,2,1.0,1,3,4,73,0
789,0.0,33,0.0,2,0,0,5,0,0,3,5,3,0.6,5,5,0,1929,0
790,4.545454545454546,22,0.0,0,1,0,3,0,0,0,3,3,1.0,0,14,0,21,0
791,0.0,61,0.0,7,0,0,9,2,0,7,9,0,0.0,9,9,0,147,3
792,0.0,129,0.0,0,0,0,18,0,0,0,18,18,1.0,0,19,0,0,0
793,0.0,22,0.0,2,0,0,4,0,0,0,4,2,0.5,4,6,0,38,0
794,0.0,90,0.0,7,0,0,11,0,0,3,16,9,0.3636363636363636,11,13,0,75,0
795,0.0,21,0.0,1,0,0,3,0,0,0,3,2,0.6666666666666666,2,3,0,326,0
796,0.0,326,0.0,0,0,0,9,0,0,1,49,49,1.0,8,217,0,77,0
797,0.0,51,0.0,2,0,0,5,0,2,0,9,7,0.6,5,16,0,155,0
798,0.0,84,0.0,0,0,0,7,0,0,8,11,11,1.0,4,19,0,149,0
799,0.0,29,0.0,0,0,0,4,1,0,0,7,6,0.75,4,7,0,28,0
800,0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,236,0
801,0.0,24,0.0,2,0,0,2,0,0,2,2,0,0.0,2,2,0,325,0
802,0.0,202,0.0,0,0,0,16,0,0,5,41,41,1.0,13,45,0,254,0
803,0.0,36,0.0,0,0,0,2,0,0,0,10,10,1.0,2,19,0,40,0
804,0.0,66,0.0,3,0,0,8,0,0,0,8,5,0.625,8,44,0,72,0
805,0.0,14,0.0,0,0,0,3,0,0,0,3,3,1.0,3,8,0,0,0
806,0.0,36,0.0,1,0,0,3,0,0,3,5,4,0.6666666666666666,3,7,0,2,0
807,0.0,768,0.0,6,0,0,36,0,1,19,156,150,0.8333333333333334,16,588,0,18,0
808,0.0,386,0.0,1,0,0,22,0,0,20,67,66,0.9545454545454546,17,191,1,161,0
809,0.0,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,116,0
810,0.0,67,0.0,0,0,0,8,0,0,2,16,16,1.0,3,50,0,1,0
811,0.0,76,0.0,6,0,0,10,0,0,5,12,6,0.4,9,13,0,30,1
812,0.0,42,0.0,4,0,0,8,4,0,4,8,0,0.0,8,8,0,133,2
813,0.0,7,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,0,0
814,0.0,15,0.0,0,0,0,1,0,0,1,2,2,1.0,1,2,0,229,0
815,10.126582278481012,79,1.2658227848101269,0,8,1,7,0,0,1,15,15,1.0,1,53,0,0,0
816,0.0,19,0.0,0,0,0,0,0,0,1,0,0,0.0,0,2,0,319,0
817,0.0,31,0.0,3,0,0,4,0,0,0,6,3,0.25,2,5,0,46,0
818,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,83,0
819,0.0,36,0.0,0,0,0,2,1,0,0,7,3,0.5,2,7,0,313,0
820,0.0,56,0.0,3,0,0,9,0,0,0,15,12,0.6666666666666666,9,25,0,70,0
821,0.0,116,0.0,10,0,0,15,0,0,5,23,13,0.3333333333333333,12,16,0,76,0
822,0.0,51,0.0,1,0,0,3,0,2,2,9,8,0.6666666666666666,1,19,0,48,0
823,0.0,37,0.0,1,0,0,3,1,0,0,5,3,0.3333333333333333,3,7,0,2,0
824,0.0,50,0.0,4,0,0,6,1,0,0,7,1,0.1666666666666666,6,17,0,0,2
825,0.0,49,0.0,3,0,0,6,1,1,4,6,2,0.3333333333333333,6,8,3,137,2
826,0.0,45,0.0,2,0,0,7,0,0,2,7,5,0.7142857142857143,7,21,0,112,0
827,0.0,127,0.0,0,0,0,2,0,39,4,3,3,1.0,2,15,0,81,0
828,12.5,56,0.0,0,7,0,9,0,0,0,12,12,1.0,9,30,0,37,0
829,0.0,80,0.0,9,0,0,11,0,0,6,16,6,0.1818181818181818,10,22,0,153,0
830,0.0,27,0.0,1,0,0,3,1,1,1,6,3,0.3333333333333333,2,7,0,85,1
831,0.0,646,0.0,1,0,0,34,0,0,2,192,191,0.9705882352941176,11,226,0,52,0
832,0.0,16,0.0,0,0,0,2,0,0,0,2,2,1.0,2,3,0,34,0
833,0.0,302,0.0,2,0,0,25,0,1,3,59,57,0.92,11,197,0,87,0
834,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,141,0
835,2.083333333333333,48,4.166666666666667,0,1,2,6,0,0,1,11,11,1.0,3,22,0,62,0
836,0.0,45,0.0,3,0,0,5,1,0,1,10,5,0.2,5,7,0,233,1
837,0.0,21,0.0,2,0,0,2,0,0,2,2,0,0.0,2,2,0,7,0
838,0.0,44,0.0,2,0,0,5,2,0,0,7,3,0.2,5,10,0,2,1
839,0.0,171,0.5847953216374269,6,0,1,25,0,1,1,39,33,0.76,23,31,0,99,0
840,0.0,25,0.0,2,0,0,4,0,0,1,4,2,0.5,4,5,0,5,2
841,0.0,6,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,24,0
842,0.0,26,0.0,0,0,0,2,0,0,0,2,2,1.0,2,17,0,495,0
843,0.0,279,0.0,3,0,0,28,0,3,10,49,46,0.8928571428571429,14,54,0,89,0
844,0.0,85,0.0,3,0,0,9,3,0,7,13,7,0.3333333333333333,8,27,0,0,0
845,0.0,34,0.0,0,0,0,6,0,0,2,7,7,1.0,3,8,0,183,0
846,0.0,36,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,25,0
847,0.0,143,0.0,17,0,0,18,0,0,16,22,5,0.0555555555555555,17,42,0,75,2
848,0.0,93,0.0,4,0,0,17,0,0,0,17,13,0.7647058823529411,17,17,0,72,0
849,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,70,0
850,0.0,22,0.0,2,0,0,4,2,0,1,4,0,0.0,4,4,0,0,3
851,0.0,46,0.0,4,0,0,8,4,0,4,8,0,0.0,8,8,0,39,0
852,0.0,18,0.0,1,0,0,2,0,0,0,2,1,0.5,1,5,0,1238,0
853,0.0,23,0.0,2,0,0,4,2,0,2,4,0,0.0,4,4,0,216,1
854,0.0,129,0.0,0,0,0,12,0,7,1,21,21,1.0,10,28,1,18,0
855,0.0,105,0.0,1,0,0,9,1,0,6,13,11,0.7777777777777778,3,39,0,168,0
856,0.0,21,0.0,0,0,0,1,0,0,1,1,1,1.0,1,13,0,56,0
857,0.0,35,0.0,6,0,0,6,0,0,2,6,0,0.0,6,6,0,227,2
858,0.0,10,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,0,0
859,0.0,13,0.0,1,0,0,2,1,0,0,2,0,0.0,2,2,1,146,2
860,0.0,55,0.0,2,0,0,6,0,0,2,8,6,0.6666666666666666,6,11,0,778,0
861,0.0,27,0.0,0,0,0,2,0,0,0,4,4,1.0,2,3,0,54,0
862,0.0,41,0.0,1,0,0,7,0,0,0,7,6,0.8571428571428571,7,17,0,208,0
863,0.0,29,0.0,0,0,0,1,0,0,0,5,5,1.0,1,3,0,69,0
864,0.0,97,0.0,0,0,0,10,0,0,0,36,36,1.0,3,21,0,0,0
865,0.0,114,0.0,6,0,0,11,0,0,0,16,10,0.4545454545454545,11,48,0,34,0
866,0.0,27,0.0,2,0,0,4,0,1,0,4,2,0.5,2,7,0,11,0
867,0.0,9,0.0,0,0,0,2,0,0,0,2,2,1.0,0,4,0,82,0
868,0.0,31,0.0,0,0,0,2,0,0,0,2,2,1.0,1,43,0,75,0
869,0.0,72,0.0,0,0,0,5,0,0,0,5,5,1.0,5,60,0,260,0
870,0.0,62,0.0,6,0,0,10,0,0,1,12,6,0.4,0,21,0,10,0
871,0.0,67,0.0,0,0,0,3,0,3,14,3,3,1.0,3,33,0,8,0
872,0.0,25,0.0,0,0,0,2,0,0,4,2,2,1.0,2,7,0,70,0
873,0.0,63,0.0,0,0,0,3,0,0,2,11,11,1.0,3,18,0,250,0
874,0.0,31,0.0,0,0,0,2,0,0,0,4,4,1.0,2,10,0,65,0
875,0.0,190,0.0,4,0,0,14,2,0,2,43,37,0.5714285714285714,13,106,2,85,0
876,1.6129032258064515,186,2.6881720430107525,10,3,5,23,0,5,8,27,17,0.5652173913043478,17,98,0,54,0
877,0.0,355,0.0,9,0,0,37,0,0,5,53,44,0.7567567567567568,10,73,0,73,0
878,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,241,0
879,0.0,147,0.0,1,0,0,21,0,0,4,41,40,0.9523809523809524,19,31,0,28,0
880,0.0,10,0.0,0,0,0,1,0,0,0,1,1,1.0,1,2,0,85,0
881,0.0,210,0.0,4,0,0,10,0,0,0,45,41,0.6,10,79,0,397,0
882,0.0,122,0.0,6,0,0,12,0,0,0,17,11,0.5,12,54,0,34,0
883,0.0,52,0.0,2,0,0,6,0,0,0,10,8,0.6666666666666666,5,14,0,66,0
884,0.0,222,0.0,17,0,0,26,0,0,13,37,20,0.3461538461538461,23,69,0,87,1
885,0.0,329,0.0,3,0,0,9,0,8,12,51,47,0.6666666666666666,5,73,0,166,1
886,0.0,162,0.0,9,0,0,18,0,1,10,29,20,0.5,18,43,11,34,1
887,0.0,24,0.0,0,0,0,1,0,0,3,1,1,1.0,1,2,2,0,1
888,0.0,21,0.0,0,0,0,1,0,0,4,1,1,1.0,1,25,0,4,0
889,0.0,78,0.0,2,0,0,9,2,0,2,17,13,0.5555555555555556,3,18,0,99,0
890,0.0,39,0.0,1,0,0,2,0,0,0,11,10,0.5,2,24,0,11,0
891,0.0,52,0.0,3,0,0,4,0,1,0,4,1,0.25,4,7,2,35,0
892,0.0,142,0.0,6,0,0,13,0,0,7,17,10,0.5384615384615384,13,27,0,59,1
893,0.0,371,0.0,0,0,0,8,0,0,0,62,62,1.0,0,125,0,42,0
894,0.0,12,0.0,0,0,0,5,0,0,0,5,5,1.0,0,5,0,0,0
895,0.0,308,0.0,28,0,0,58,28,4,28,58,2,0.0344827586206896,58,60,0,51,3
896,0.0,46,0.0,2,0,0,6,1,0,1,6,3,0.5,6,12,0,397,0
897,0.0,30,0.0,0,0,0,1,0,0,0,11,11,1.0,1,1,0,397,0
898,0.0,270,0.3703703703703703,1,0,1,15,0,0,15,48,47,0.9333333333333332,3,83,0,39,0
899,0.0,80,0.0,2,0,0,8,0,1,4,11,9,0.75,6,18,0,147,0
900,0.0,33,0.0,1,0,0,4,0,0,2,4,3,0.75,2,8,0,42,0
901,0.0,27,0.0,0,0,0,1,0,0,0,5,5,1.0,1,10,0,88,0
902,0.0,66,0.0,2,0,0,6,0,0,0,18,16,0.6666666666666666,5,20,0,102,0
903,0.0,70,0.0,4,0,0,8,1,3,3,9,4,0.375,7,26,0,356,0
904,0.0,17,0.0,0,0,0,7,0,0,0,7,7,1.0,0,7,0,434,0
905,0.0,11,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,151,0
