id,McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable,MaxNumberOfAddedLines,Severity
1915,17,92,0,0,127,0
1916,3,3,0,0,4,0
1917,1,11,0,0,11,0
1918,1,4,0,0,5,0
1919,1,5,0,0,10,0
1920,2,6,0,0,7,0
1921,6,23,0,0,24,0
1922,2,7,0,0,8,0
1923,2,6,0,0,7,0
1924,3,13,0,0,14,0
1925,1,5,0,0,6,0
1926,1,7,0,0,8,0
1927,2,6,0,0,8,0
1928,8,38,0,1,28,0
1929,1,5,0,0,12,0
1930,3,10,0,0,11,0
1931,1,4,0,0,5,0
1932,1,3,0,0,20,0
1933,1,5,0,0,6,0
1934,1,10,0,0,12,0
1935,2,7,0,0,8,0
1936,1,7,0,0,8,0
1937,2,7,0,0,8,0
1938,6,18,0,0,18,0
1939,1,4,0,0,4,0
1940,2,5,0,0,6,0
1941,3,9,0,0,10,0
1942,4,11,0,0,12,0
1943,3,11,0,0,15,0
1944,1,9,0,0,13,0
1945,1,5,0,0,4,0
1946,1,3,0,0,5,0
1947,6,37,1,0,40,0
1948,2,5,0,0,6,0
1949,12,47,0,0,47,0
1950,2,14,0,0,16,0
1951,1,9,0,0,9,0
1952,2,19,0,0,18,0
1953,5,21,0,0,28,0
1954,3,8,0,0,9,0
1955,1,4,0,0,4,0
1956,1,4,0,0,5,0
1957,1,4,0,0,5,0
1958,2,9,0,0,10,0
1959,1,4,0,0,5,0
1960,3,10,0,0,12,0
1961,1,4,0,0,5,0
1962,2,8,0,0,13,0
1963,2,5,0,0,9,0
1964,1,10,2,0,11,0
1965,6,29,0,0,39,0
1966,5,24,0,0,27,0
1967,1,3,0,0,4,0
1968,3,11,0,0,11,0
1969,2,6,0,0,7,0
1970,2,9,0,0,10,0
1971,1,5,0,0,6,0
1972,1,17,0,0,11,0
1973,2,6,0,0,5,0
1974,1,6,0,0,7,0
1975,3,25,0,0,42,0
1976,1,4,1,0,6,0
1977,3,10,0,0,18,0
1978,3,18,0,0,28,1
1979,1,4,0,0,5,0
1980,1,3,0,0,4,0
1981,3,9,0,0,12,0
1982,1,4,0,0,6,0
1983,2,11,0,0,15,0
1984,4,21,0,0,18,0
1985,1,4,0,0,5,0
1986,2,6,0,0,11,0
1987,2,11,0,0,13,0
1988,1,3,0,0,6,0
1989,9,53,0,0,241,0
1990,3,9,0,0,12,0
1991,2,8,0,0,88,0
1992,3,5,0,0,7,0
1993,2,8,0,0,9,0
1994,5,26,0,0,28,0
1995,7,55,0,0,68,0
1996,2,8,0,0,13,0
1997,1,6,0,0,7,0
1998,2,9,0,0,10,0
1999,5,30,0,0,30,0
2000,1,5,0,0,7,0
2001,6,16,0,0,17,0
2002,13,35,0,0,27,0
2003,1,12,0,0,13,0
2004,2,7,0,0,10,0
2005,10,38,0,0,73,0
2006,4,15,0,0,16,0
2007,3,14,0,0,23,0
2008,1,8,0,0,21,0
2009,2,7,0,0,8,0
2010,2,10,0,0,13,0
2011,1,3,0,0,4,0
2012,1,5,0,0,4,0
2013,2,10,0,0,11,0
2014,5,32,0,0,28,0
2015,2,6,0,0,4,0
2016,28,103,0,0,111,1
2017,3,7,0,0,8,0
2018,5,26,0,0,39,0
2019,5,37,0,0,21,0
2020,2,6,0,0,7,0
2021,3,11,0,0,13,0
2022,7,25,0,0,88,1
2023,2,17,0,0,29,1
2024,2,7,0,0,7,0
2025,2,6,0,0,7,0
2026,4,20,1,0,29,2
2027,2,6,0,0,7,0
2028,2,6,0,0,8,0
2029,2,5,0,0,6,0
2030,3,10,0,0,11,0
2031,1,3,0,0,7,0
2032,2,6,0,0,7,0
2033,6,24,0,0,27,0
2034,1,3,0,0,10,0
2035,1,7,0,0,13,1
2036,2,7,0,0,14,0
2037,1,5,0,0,6,0
2038,1,4,0,0,5,0
2039,2,7,0,0,10,0
2040,8,17,0,0,15,0
2041,1,4,0,0,5,0
2042,2,7,0,0,8,0
2043,3,11,0,0,14,0
2044,13,48,0,0,50,0
2045,7,24,0,0,32,0
2046,4,14,0,0,15,0
2047,17,70,0,0,73,0
2048,1,6,0,0,8,0
2049,2,7,0,0,7,0
2050,1,3,0,0,9,0
2051,11,46,3,4,34,0
2052,7,37,0,0,43,0
2053,11,27,0,0,26,0
2054,8,32,0,0,30,0
2055,2,11,0,0,12,0
2056,1,8,0,0,9,0
2057,4,21,0,0,22,0
2058,1,6,0,0,7,0
2059,1,13,0,0,38,0
2060,4,18,0,0,15,0
2061,1,8,0,1,14,0
2062,10,43,0,0,44,0
2063,1,3,0,0,4,0
2064,2,45,2,0,73,0
2065,2,9,0,0,12,0
2066,17,117,0,0,141,0
2067,6,32,0,0,37,1
2068,2,9,0,0,14,0
2069,1,13,0,0,16,1
2070,3,9,0,0,9,0
2071,3,21,0,0,18,0
2072,5,22,0,0,17,0
2073,1,6,0,0,8,0
2074,1,7,0,0,8,0
2075,2,7,0,0,12,0
2076,3,8,0,0,7,0
2077,2,8,0,0,9,0
2078,2,5,0,0,4,0
2079,2,7,0,0,8,0
2080,2,7,0,0,8,0
2081,3,14,0,0,17,0
2082,1,6,0,0,5,0
2083,4,8,0,0,9,0
2084,1,3,0,0,7,0
2085,16,61,0,0,61,0
2086,2,8,0,0,9,0
2087,14,37,0,0,38,0
2088,4,10,0,0,12,0
2089,2,6,0,0,7,0
2090,8,28,0,0,37,0
2091,2,10,1,0,12,0
2092,3,11,0,0,14,0
2093,5,14,0,0,30,0
2094,4,10,0,0,8,0
2095,2,6,0,0,7,0
2096,6,21,0,0,22,0
2097,4,17,0,0,18,0
2098,1,23,0,0,25,0
2099,1,3,0,0,4,0
2100,2,7,0,0,8,0
2101,1,6,0,0,7,0
2102,3,17,1,0,19,0
2103,2,8,0,0,9,0
2104,2,7,0,0,8,0
2105,2,8,0,0,9,0
2106,3,9,0,0,10,0
2107,1,12,0,0,13,0
2108,2,5,0,0,6,0
2109,1,4,0,0,4,0
2110,3,10,0,0,11,0
2111,10,36,0,0,35,0
2112,3,12,0,0,13,0
2113,1,4,0,0,5,0
2114,1,3,0,0,4,0
2115,4,12,0,0,18,0
2116,3,8,0,0,9,0
2117,5,12,0,0,13,0
2118,1,3,0,0,4,0
2119,1,12,0,0,16,0
2120,1,4,0,0,6,0
2121,1,4,0,0,5,0
2122,1,13,0,0,14,0
2123,1,3,0,0,4,0
2124,2,22,0,0,32,0
2125,1,4,0,0,7,0
2126,3,11,0,0,12,0
2127,2,8,0,0,9,0
2128,5,15,0,0,22,0
2129,1,3,0,1,6,0
2130,2,6,0,0,6,0
2131,2,10,0,0,11,0
2132,1,4,0,0,5,0
2133,3,11,0,0,12,0
2134,1,4,0,0,5,0
2135,3,11,0,0,9,0
2136,1,11,0,0,11,0
2137,2,7,0,0,9,0
2138,2,7,0,0,8,0
2139,2,8,0,0,10,0
2140,1,3,0,0,5,0
2141,5,17,0,0,18,0
2142,1,9,0,0,10,0
2143,8,19,0,0,21,0
2144,2,5,0,0,4,0
2145,1,6,0,0,7,0
2146,2,10,1,0,11,0
2147,4,13,0,0,16,0
2148,2,8,0,0,9,0
2149,1,7,0,0,9,0
2150,2,6,0,0,7,0
2151,2,9,0,0,12,0
2152,8,44,0,0,53,0
2153,3,12,0,0,14,0
2154,3,12,0,0,13,0
2155,2,6,0,0,7,0
2156,9,29,0,0,31,0
2157,3,10,0,0,12,0
2158,1,4,0,0,5,0
2159,2,6,0,0,4,0
2160,3,11,0,0,17,0
2161,10,49,0,0,38,0
2162,1,3,0,0,4,0
2163,1,7,0,0,8,1
2164,10,45,1,1,53,1
2165,2,4,0,0,6,0
2166,1,3,0,0,5,0
2167,1,3,0,0,4,0
2168,1,13,0,0,41,0
2169,2,6,0,0,8,0
2170,2,7,0,0,9,0
2171,3,13,0,0,13,0
2172,1,3,0,0,5,0
2173,2,7,0,0,9,0
2174,2,7,0,0,5,0
2175,28,120,0,0,153,0
2176,17,97,0,0,70,2
2177,4,14,0,0,18,0
2178,1,3,0,0,4,0
2179,1,5,0,0,6,0
2180,2,12,0,0,13,0
2181,3,12,0,0,13,0
2182,2,6,0,0,4,0
2183,2,3,0,0,6,0
2184,2,7,0,0,8,0
2185,2,12,0,0,17,0
2186,1,3,0,0,44,0
2187,1,7,0,0,11,0
2188,3,8,0,0,7,0
2189,1,5,0,0,6,0
2190,1,5,0,0,4,0
2191,3,16,0,0,11,0
2192,3,16,0,0,17,0
2193,3,9,0,0,10,0
2194,5,26,0,0,36,0
2195,2,7,0,0,8,0
2196,2,5,0,0,6,0
2197,1,5,0,0,6,0
2198,2,7,0,0,8,0
2199,2,5,0,0,6,0
2200,2,6,0,0,7,0
2201,1,3,0,0,4,0
2202,3,18,0,0,19,0
2203,22,87,0,0,134,0
2204,1,3,0,0,7,0
2205,3,12,0,0,9,0
